Date,US4642872919,US4642873339,US4642887453,US4642887297,US4642873255,US4642887370,US4642877397,US4642884898,US4642886950,US4642873412,US4642872752,US4642887115,US4642872265,US46435G6724
2017-01-03,,,,,,,,,,,,,,
2017-01-04,0.004043441421152316,0.012958744927774157,0.01230997317271565,0.007493453780492487,0.006650743549551752,0.004325123324824265,0.013702285699167982,0.011396127965426661,0.012102911517817283,0.00026453243673407734,0.008236710686149173,0.0035696562384406327,0.0002579440734218341,-0.0037886056149506464
2017-01-05,0.00501533152199074,-0.002885999408787532,0.0010672424504512001,0.002072958083644494,0.00960813904701241,0.005711401756694157,0.003427648658832494,0.010514049401227465,0.007487857466571102,0.0013990580950371534,0.012011898694854306,0.00467359945432233,0.0041387780132089436,0.0023216835252855006
2017-01-06,0.00722723311366158,0.0009945782178868434,0.0010664560718129934,0.0005024011842356124,0.0001852941089246496,-0.0017402221347795344,-0.002183192383577448,0.0003525087918092584,-0.006762162502767288,-0.0028542591474340906,-0.008110941300700558,0.0004251467936593478,-0.003333183651734961,-0.0039047568070562644
2017-01-09,0.0030891083102853045,-0.007450969193271928,0.0008482635283029172,-0.002237954866501135,0.002953347197680589,-0.0028192319238490304,-0.006651599194705704,-0.0022527656037321098,-0.0007343329347195837,-0.013379655586092776,-0.007011634877260864,-0.008225262340795014,0.001642411315622816,0.00404161489074184
2017-01-10,-0.00028583815505189847,0.0006604324969776698,0.0003050516415961102,0.0005028940801332649,0.0037618840727415837,-0.0053139811053618535,-0.009392378418832226,0.001471793737608973,0.010346277202001763,-0.008087026394156926,0.0011533252875897126,-0.0038653921310991546,-0.0002967610346159555,-0.0015375376959604337
2017-01-11,0.006622860077555082,0.006781377493159546,0.006048958034191365,0.005077186025789215,-0.01030531924953526,0.0036718535286224263,-0.0042970142383382814,-2.0186866643179258e-05,0.014489746802736958,0.012468921469110494,0.003663671137375646,0.006968413050078892,0.0011786327571119415,0.0017126869514554333
2017-01-12,-0.00134042328591355,-0.0030606086893703033,-0.0009900958325871345,0.001669925485237922,-0.001769732814145275,0.0004121782595227774,0.004534930502817502,-0.0026276580170010444,0.003641783174389568,-0.0017417520627770466,0.0029824213360951646,0.0037791501167308006,0.0003478442334330367,0.00017291678510455988
2017-01-13,0.0014772156899200972,0.003706336849100822,0.0018125000669717561,0.0036143657561737985,0.0024531350925232065,0.0009527069672436994,-0.0010571196301109032,-0.001887646640769014,0.002238323632831607,-2.0581666907881768e-05,0.0014764243211160544,-0.0004659167815815879,-0.0017699601771739015,-0.003502879983797058
2017-01-17,-0.004243331732888156,-0.013691467742857233,0.0006252045778452064,-0.004806508455162839,-0.003207914588972516,0.006893852213818219,0.006723906011432135,0.0007276413035373075,-0.0014075442189189769,0.003140337873321908,-2.0581666907881768e-05,0.012454357072232192,0.0033920728248832965,0.001338377758446363
2017-01-18,0.001836285338510102,-0.000190117905258802,-0.003891219075206398,-0.0010587734813880534,-0.0029070888736624223,-0.00010805802505453599,0.0016558238446904294,-0.0018881611095677986,0.0025851644356036374,-0.005461568830891217,-0.0068285023141057,-0.004639464277267691,-0.004339252254043302,-0.0029271061473097326
2017-01-19,-0.0022231928121674294,-0.001901201831838839,-0.0018542621711279406,0.0019329930380074245,-0.005604621549618383,-0.0011099061774769714,-0.010436613705116726,-0.00900737131919227,-0.002269689525330798,-0.007507086536921337,0.000817513127089331,-0.006649907008996592,-0.0026035408045290698,-0.0007963634476880754
2017-01-20,0.005196104999672491,0.0040970140591714,0.001604461888750075,0.0028385595695348265,-0.0010584702622572495,0.006212317316738325,0.006350386629963012,0.0014935035191527835,0.007791575989685384,0.004915043670648878,0.00883725973508942,0.003542090347446125,0.00035202096866826516,-0.002742477699565482
2017-01-23,0.0024435426012725525,-0.0005305073602445143,0.0013858270348234836,-0.0031258129515908673,-0.0043918455178898475,0.0022599984615538915,0.007601573334534262,0.007528957533043501,0.009280909471335308,-0.006948619439697934,0.0009754942470623362,-0.002678966158543461,0.0027575094093614805,0.0031817877217228396
2017-01-24,0.009627638248137504,0.007156015251066128,0.007098413322186525,0.00998150684273047,-0.006086103082581618,0.004843687565518895,0.0022873087161465744,0.0014783353135712218,0.018748336278497257,0.00957602070900787,-0.017226939611633907,0.00042485003588654813,-0.0015883471112164704,-0.0026260860327764757
2017-01-25,0.012837147873175914,0.017114161466986078,0.006513445830620412,0.012969680896508962,0.010293530653289196,0.0031609850489877633,-0.005389846220832939,0.00035496934709700056,0.008187328366826785,0.004589292699812564,0.0003176981056371986,-0.0004634466755075728,-0.0026989763554507995,-0.0011890490329352632
2017-01-26,-0.0007912667885227043,0.001314825666481445,-0.00035985889997869336,-0.0011619641158480132,-0.0031440716618001963,-0.006253547613648269,-0.0010479391903844837,-0.003383883130037013,-0.005833350637100665,-0.002886369625792806,0.0003171898590130784,-0.0026872495275634956,0.0006292314650593323,-0.0011712909402161742
2017-01-27,0.000538495135194994,-0.003517065369914474,-0.004787485017776372,-0.0025613391924499407,0.004891270493106337,-0.0023585784352782024,-0.00941450654383802,-0.0007695846956152774,-0.0020244096800569045,-0.009220087200482396,0.000990024116412691,-0.0018027230515372805,0.0008140133522438475,0.0007429022590235146
2017-01-30,-0.0062385696112065014,-0.008376408681404435,-0.004083133647498904,-0.007409815089605254,-0.0025147184213425433,-0.0025772144779409034,-0.0069051968109346,-0.003022400151731608,-0.010734280791788842,-0.01801127178598927,-0.004557212274778899,-0.0018059089843693865,-0.00048201743000164665,-0.0030467408987285838
2017-01-31,-0.004680991854615679,-0.003559316719651151,0.0004097151133035659,-0.003999252874492654,0.011966866300869183,0.004040470821342179,0.007829501536326777,0.009016352551060702,0.0013340749553163445,0.0014577493439058564,0.003863375286608628,0.010718463006304413,0.002386946841580029,0.004019780898596892
2017-02-01,0.006397691278618556,0.0028557154152373254,-0.0007711068281542888,0.002686742319957025,0.004872575878813734,-0.0019352969756403215,-0.011831837717803162,0.0025921482712547572,0.00792342243953792,-0.005036021003351765,-0.0038879386804648863,-0.011307972638142427,-0.0034365433431636783,-0.002189497321957945
2017-02-02,0.0018759425699035326,-0.0018750795968259792,-0.0024902538962107146,-0.005418249610800174,-0.0011984934058207886,0.0066973419955642655,0.011145320280641746,-0.0003919542899992745,-0.0025348825705121536,0.004280326596709294,-0.006097793040252819,0.006472260804625485,0.0005361753559942617,0.002715835661444954
2017-02-03,0.006689126116085964,0.01316073127303552,0.0006266672423558273,0.007088382639330426,0.007676857340753296,0.005998395691771297,0.006735604150310159,0.003703611041889543,-0.006911311756225724,0.008101081221270068,0.0011696634933642258,0.002204802139527784,0.00025843207890630104,-0.002942569775820192
2017-02-06,0.0004935992213077611,-0.005689449195706242,-0.005937435460375617,-0.005151813728560883,-0.002157495102753648,-0.0061187072470546555,-0.003373840940740558,-0.0029863612815083096,-0.005266124776763803,-0.01027090615607773,-0.005957244511348048,-0.004679454960756835,0.002851102388879312,0.0036970157622870925
2017-02-07,0.002199948049247835,-0.003542494816995423,-0.0015075217876217017,0.0019145480746698418,0.0020208377277031175,0.005480359692575876,-0.0014443194404391013,0.005560170276214027,-0.00019034170754850255,-0.014225573075580922,-0.0020683179470323276,0.004439121940491564,0.0009953227345387283,-0.0015790333202674312
2017-02-08,0.0016834312835904974,-0.004396949281787466,0.006129505169326199,0.001395484244523626,-0.0005297984914317544,0.008005492804191716,0.007239887670574374,0.007748563727098645,-0.0010416844579220763,0.0011802589215041959,0.005452310414501449,0.011078197467387252,0.002838405698212254,0.005443899207409064
2017-02-09,0.0019360944976505312,0.011476009244937524,0.00235132737914312,0.003836349963283636,0.006908690247683147,0.0007897201246829244,0.003069013802683651,0.003283777891066153,0.00020468536504325563,0.008675465307269814,0.0048275764437060165,-0.0026546544846453024,-0.0024112113286626213,0.00036801189112067867
2017-02-10,0.0011682681418458962,0.00098265451727797,0.006214361128627166,0.006894911097244716,0.001902500848394384,-0.0011426971128123409,0.007679030379603269,0.001809304534747369,0.01338054755083018,0.00830323762800611,0.0009108329383489266,0.0054827847380234385,-0.00020455264835417264,-0.0017664033974928994
2017-02-13,0.006254584774510796,0.009065197119516366,0.004466908111621315,0.007229349521774564,0.004525203427751867,0.0009210400864834156,0.0032910445956939594,-0.006228703641569577,0.012417182762663348,0.0038127551425584105,-0.006953666541035797,0.0020598927363200126,-0.0014949902570147167,0.0005632983517560586
2017-02-14,0.002423358802382758,0.007358097909667016,0.002638539071887047,-0.00014644949290598674,0.004001530406632536,-0.00315334613557261,-0.005604651900277036,0.004389956463014988,-0.00407397172720092,0.0014482419145609438,-0.004958878964735902,-0.006027832961673196,-0.00223625334863764,-0.003322440168896379
2017-02-15,0.005105525885133799,0.0093417042552566,0.002524632396722515,0.004146216399322444,0.00889150104040115,0.005531668936010092,-0.0009144033584950195,0.0047357012155604394,0.0025475367011975614,-0.0029535277477026334,0.0027173429284401696,-0.0015594379665163638,-0.0015941765020877074,0.001538173835051726
